Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2020,2020,Blinding Lights,The Weeknd,25,False,201573,Blinding Lights,2019-11-29,97,104637000,unknown
2020,2020,The Box,Roddy Ricch,84,True,196652,Please Excuse Me for Being Antisocial,2019-12-06,78,11428352,melodic rap
2020,2020,ROXANNE,Arizona Zervas,76,True,163636,ROXANNE,2019-10-10,63,787353,unknown
2020,2020,positions,Ariana Grande,2,True,172324,positions,2020-10-23,94,105205627,pop
2020,2020,Say So,Doja Cat,78,True,237893,Hot Pink,2019-11-07,87,33220529,unknown
2020,2020,Watermelon Sugar,Harry Styles,86,False,174000,Fine Line,2019-12-13,85,33683053,unknown
2020,2020,Don't Start Now,Dua Lipa,76,False,183290,Don't Start Now,2019-10-31,89,45999715,pop
2020,2020,death bed (coffee for your head),Powfu,83,False,173333,death bed (coffee for your head),2020-02-08,70,1422864,unknown
2020,2020,cardigan,Taylor Swift,50,False,239560,folklore,2020-07-24,98,137087401,unknown
2020,2020,everything i wanted,Billie Eilish,86,False,245425,everything i wanted,2019-11-13,95,111496286,unknown
2020,2020,What You Know Bout Love,Pop Smoke,79,True,160000,Shoot For The Stars Aim For The Moon,2020-07-03,79,15207111,"brooklyn drill, drill, new york drill"
2020,2020,DÁKITI,Bad Bunny,81,True,205090,DÁKITI,2020-10-30,100,95183342,"reggaeton, trap latino, urbano latino, latin"
2020,2020,WAP (feat. Megan Thee Stallion),Cardi B,78,True,187541,WAP (feat. Megan Thee Stallion),2020-08-07,81,25306501,unknown
2020,2020,ROCKSTAR (feat. Roddy Ricch),DaBaby,77,True,181733,BLAME IT ON BABY,2020-04-17,80,12637748,unknown
2020,2020,Blueberry Faygo,Lil Mosey,75,True,162546,Certified Hitmaker,2020-02-06,68,5844471,melodic rap
2020,2020,Mood (feat. iann dior),24kGoldn,8,True,140525,Mood (feat. iann dior),2020-07-24,69,2269136,unknown
2020,2020,Rain On Me (with Ariana Grande),Lady Gaga,74,False,182200,Rain On Me (with Ariana Grande),2020-05-22,95,37700452,"art pop, pop"
2020,2020,Dynamite,BTS,3,False,199053,Dynamite,2020-08-21,88,78902741,k-pop
2020,2020,Kings & Queens,Ava Max,82,False,162398,Heaven & Hell,2020-09-18,80,7491272,unknown
2020,2020,Adore You,Harry Styles,84,False,207133,Fine Line,2019-12-13,85,33683053,unknown
2020,2020,Angels Like You,Miley Cyrus,83,False,196453,Plastic Hearts,2020-11-27,85,25922019,unknown
2020,2020,august,Taylor Swift,86,False,261922,folklore,2020-07-24,98,137087401,unknown
2020,2020,Falling,Trevor Daniel,70,False,159381,Falling,2018-10-05,64,896757,unknown
2020,2020,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,0,True,195428,B4 The Storm,2020-08-29,69,964541,unknown
2020,2020,hot girl bummer,blackbear,77,True,188343,everything means nothing,2020-08-21,75,5037054,unknown
2020,2020,Heartless,The Weeknd,80,True,198266,After Hours,2020-03-20,97,104637000,unknown
2020,2020,Toosie Slide,Drake,72,True,247058,Toosie Slide,2020-04-03,98,98426468,rap
2020,2020,Party Girl,StaySolidRocky,71,True,147800,Party Girl,2020-04-21,62,348198,unknown
2020,2020,Memories,Maroon 5,34,False,189486,Memories,2019-09-20,88,44829185,pop
2020,2020,Stuck with U (with Justin Bieber),Ariana Grande,81,False,228482,Stuck with U,2020-05-08,94,105205627,pop
2020,2020,Heather,Conan Gray,87,False,198040,Kid Krow,2020-03-20,80,11697829,unknown
2020,2020,Intentions (feat. Quavo),Justin Bieber,78,False,212866,Changes,2020-02-14,91,82266205,unknown
2020,2020,No Idea,Don Toliver,1,False,154424,No Idea,2019-05-29,87,6643286,unknown
2020,2020,Life Is Good (feat. Drake),Future,75,True,237735,Life Is Good (feat. Drake),2020-01-10,93,21357710,rap
2020,2020,HIGHEST IN THE ROOM,Travis Scott,85,True,175720,HIGHEST IN THE ROOM,2019-10-04,94,38553514,rap
2020,2020,Roses - Imanbek Remix,SAINt JHN,10,True,176218,Roses (Imanbek Remix),2019-09-13,70,1125788,unknown
2020,2020,you broke me first,Tate McRae,13,True,169265,you broke me first,2020-04-17,90,7658309,unknown
2020,2020,Sunday Best,Surfaces,9,False,158571,Where the Light Is,2019-01-06,67,968394,unknown
2020,2020,Shut up My Moms Calling,Hotel Ugly,87,False,164571,Shut up My Moms Calling,2020-02-10,74,963786,unknown
2020,2020,Yummy,Justin Bieber,67,False,210426,Yummy,2020-01-03,91,82266205,unknown
2020,2020,Savage Remix (feat. Beyoncé),Megan Thee Stallion,63,True,242000,Savage Remix (feat. Beyoncé),2020-04-29,81,10402966,unknown
2020,2020,How You Like That,BLACKPINK,1,False,181263,How You Like That,2020-06-26,80,53770168,k-pop
2020,2020,motive (with Doja Cat),Ariana Grande,74,True,167989,Positions,2020-10-30,94,105205627,pop
2020,2020,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,69,False,178994,Monster,2020-11-20,84,44888893,unknown
2020,2020,Break My Heart,Dua Lipa,62,False,221820,Break My Heart,2020-03-25,89,45999715,pop
2020,2020,Tusa,KAROL G,76,True,200960,Tusa,2019-11-07,89,56611098,"reggaeton, latin, urbano latino"
2020,2020,Hawái,Maluma,83,False,199112,PAPI JUANCHO,2020-08-21,88,36907725,"reggaeton, latin, urbano latino"
