Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2022,2022,As It Was,Harry Styles,20,False,167303,As It Was,2022-03-31,85,33683053,unknown
2022,2022,Anti-Hero,Taylor Swift,84,False,200690,Midnights,2022-10-21,98,137087401,unknown
2022,2022,Heat Waves,Glass Animals,17,False,238805,Dreamland (+ Bonus Levels),2020-08-06,77,4461383,unknown
2022,2022,Tití Me Preguntó,Bad Bunny,86,True,243716,Un Verano Sin Ti,2022-05-06,100,95183342,"reggaeton, trap latino, urbano latino, latin"
2022,2022,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,77,True,212000,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,76,12355197,unknown
2022,2022,Unholy (feat. Kim Petras),Sam Smith,80,False,156943,Unholy (feat. Kim Petras),2022-09-22,84,25760349,soft pop
2022,2022,CUFF IT,Beyoncé,78,True,225388,RENAISSANCE,2022-07-29,88,40272703,unknown
2022,2022,Moth To A Flame (with The Weeknd),Swedish House Mafia,82,False,234000,Paradise Again,2022-04-15,77,3915507,edm
2022,2022,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,7,False,300840,Hounds of Love (2018 Remaster),1985-09-16,71,2368559,"art pop, baroque pop, art rock"
2022,2022,First Class,Jack Harlow,11,True,173947,First Class,2022-04-08,81,4191926,unknown
2022,2022,Late Night Talking,Harry Styles,80,False,177954,Harry's House,2022-05-20,85,33683053,unknown
2022,2022,traitor,Olivia Rodrigo,89,False,229226,SOUR,2021-05-21,88,45636386,unknown
2022,2022,Ghost,Justin Bieber,85,False,153190,Justice,2021-03-19,91,82266205,unknown
2022,2022,Glimpse of Us,Joji,28,False,233456,Glimpse of Us,2022-06-10,80,10214328,unknown
2022,2022,Bad Habit,Steve Lacy,85,True,232066,Gemini Rights,2022-07-15,82,5939199,unknown
2022,2022,Something in the Orange,Zach Bryan,87,False,228013,Something in the Orange,2022-04-22,89,6555628,"country, red dirt"
2022,2022,Is There Someone Else?,The Weeknd,83,False,199111,Dawn FM,2022-01-06,97,104637000,unknown
2022,2022,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,83,False,198937,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,81,17822610,"argentine trap, trap latino, urbano latino"
2022,2022,Me Porto Bonito,Bad Bunny,84,True,178567,Un Verano Sin Ti,2022-05-06,100,95183342,"reggaeton, trap latino, urbano latino, latin"
2022,2022,N95,Kendrick Lamar,8,True,195950,Mr. Morale & The Big Steppers,2022-05-13,96,41034241,"hip hop, west coast hip hop"
2022,2022,Jimmy Cooks (feat. 21 Savage),Drake,83,True,218364,"Honestly, Nevermind",2022-06-17,98,98426468,rap
